2026-09-18 01:06:28,214 | INFO | supervised_ml | Supervised classification started.
2026-09-18 01:06:28,321 | INFO | supervised_ml | Part 3 dataset loaded successfully: 48187 rows, 36 columns
2026-09-18 01:06:28,327 | INFO | supervised_ml | Common feature set prepared: 23 features.
2026-09-18 01:06:28,344 | INFO | supervised_ml | Train/test split completed: 38549 training rows, 9638 testing rows.
2026-09-18 01:06:28,515 | INFO | supervised_ml | Logistic Regression trained.
2026-09-18 01:06:29,090 | INFO | supervised_ml | Random Forest Classifier trained.
2026-09-18 01:06:29,104 | INFO | supervised_ml | Logistic Regression evaluation completed.
2026-09-18 01:06:29,189 | INFO | supervised_ml | Random Forest Classifier evaluation completed.
2026-09-18 01:06:29,194 | INFO | supervised_ml | Classification results saved: /Users/patarachaisereerat/smart-city-traffic-capstone/part3_machine_learning/results/classification_results.csv
2026-09-18 01:06:29,194 | INFO | supervised_ml | Supervised classification completed successfully.
2026-09-18 01:17:01,651 | INFO | regression | Supervised regression started.
2026-09-18 01:17:01,746 | INFO | regression | Part 3 dataset loaded successfully: 48187 rows, 36 columns
2026-09-18 01:17:01,750 | INFO | regression | Regression feature set prepared: 23 features.
2026-09-18 01:17:01,755 | INFO | regression | Train/test split completed: 38549 training rows, 9638 testing rows.
2026-09-18 01:17:01,778 | INFO | regression | Linear Regression trained.
2026-09-18 01:17:04,874 | INFO | regression | Random Forest Regressor trained.
2026-09-18 01:17:04,877 | INFO | regression | Linear Regression evaluation completed.
2026-09-18 01:17:05,071 | INFO | regression | Random Forest Regressor evaluation completed.
2026-09-18 01:17:05,075 | INFO | regression | Regression results saved: /Users/patarachaisereerat/smart-city-traffic-capstone/part3_machine_learning/results/regression_results.csv
2026-09-18 01:17:05,075 | INFO | regression | Supervised regression completed successfully.
2026-09-18 01:25:05,549 | INFO | clustering | K-means clustering started.
2026-09-18 01:25:05,653 | INFO | clustering | Part 3 dataset loaded successfully: 48187 rows, 36 columns
2026-09-18 01:25:05,658 | INFO | clustering | Weather severity variable created.
2026-09-18 01:25:05,666 | INFO | clustering | Clustering features prepared and standardised.
2026-09-18 01:25:05,952 | INFO | clustering | K-means clustering completed with 4 clusters.
2026-09-18 01:25:05,970 | INFO | clustering | Cluster summary created.
2026-09-18 01:25:06,427 | INFO | clustering | Clustered dataset saved: /Users/patarachaisereerat/smart-city-traffic-capstone/part3_machine_learning/results/kmeans_clustered_data.csv
