antecedents,consequents,support,confidence,lift
"day=Weekend, time=Night, weather=Mist",congestion=Low,0.010604519891256978,0.9157706093189965,3.66300642078978
"day=Weekend, time=Night",congestion=Low,0.06441571378172536,0.8860976306023409,3.5443169690242384
"day=Weekend, time=Night, weather=Clouds",congestion=Low,0.013758897627990952,0.884,3.5359266207354527
"time=Night, weather=Snow",congestion=Low,0.013447610351339572,0.8697986577181207,3.479122430436049
"day=Weekend, time=Night, weather=Clear",congestion=Low,0.021976881731587357,0.863080684596577,3.4522510955968504
"time=Night, weather=Clouds",congestion=Low,0.04922489468113807,0.8526240115025162,3.410425271210405
"time=Night, weather=Clear",congestion=Low,0.06958308257413826,0.8512312769738513,3.4048544487041563
time=Night,congestion=Low,0.2163239047875983,0.8487908150802052,3.395092803707964
"day=Weekend, time=Afternoon, weather=Clouds",congestion=High,0.02428040757880756,0.8472121650977552,3.386810403149621
"day=Weekday, time=Night, weather=Clear",congestion=Low,0.0476062008425509,0.8458702064896756,3.3834106117803597
"time=Night, weather=Rain",congestion=Low,0.024321912549027744,0.8455988455988456,3.3823251907422236
"day=Weekend, time=Afternoon, weather=Clear",congestion=High,0.014422977151513893,0.8424242424242424,3.3676702314332974
"day=Weekday, time=Night, weather=Clouds",congestion=Low,0.03546599705314712,0.8410433070866142,3.3641034148404314
"day=Weekday, time=Night, weather=Rain",congestion=Low,0.017784879739348787,0.8377321603128054,3.350859102597589
"time=Night, weather=Mist",congestion=Low,0.03505094735094528,0.836552748885587,3.3461415547895554
"day=Weekday, time=Night",congestion=Low,0.15190819100587297,0.8339029391660971,3.335542535867579
"day=Weekend, time=Afternoon",congestion=High,0.057069334052752815,0.8263221153846154,3.3033004624223046
"day=Weekday, time=Night, weather=Mist",congestion=Low,0.024446427459688298,0.8062970568104039,3.2251212979599013
"day=Weekday, time=Afternoon, weather=Clouds",congestion=Severe,0.055886442401477575,0.7828488372093023,3.133931786874192
"day=Weekday, time=Afternoon, weather=Clear",congestion=Severe,0.03133625251623882,0.7807652533609101,3.1255907006481825
"day=Weekday, time=Afternoon, weather=Rain",congestion=Severe,0.016062423475211158,0.7478260869565218,2.9937273118031
"day=Weekday, time=Afternoon",congestion=Severe,0.12903895241455166,0.7444032084281097,2.980024707528896
"time=Evening, weather=Mist",congestion=Medium,0.015585116317679042,0.6928044280442804,2.770700221941219
"day=Weekend, time=Evening, weather=Clear",congestion=Medium,0.015377591466578123,0.6804407713498623,2.7212548301963495
"day=Weekday, time=Evening, weather=Mist",congestion=Medium,0.010936559653018449,0.6773778920308483,2.709005600737861
"day=Weekend, time=Evening",congestion=Medium,0.04690061634880777,0.6744255446135481,2.697198416324429
"time=Evening, weather=Clear",congestion=Medium,0.04999273663021147,0.6669435215946844,2.6672759129457266
"day=Weekday, time=Evening, weather=Clear",congestion=Medium,0.03461514516363334,0.6611177170035671,2.643977046165731
