antecedents,consequents,support,confidence,lift
"day=Weekend, time=Night, weather=Mist",congestion=Low,0.010604519891256978,0.9157706093189965,3.66300642078978
"day=Weekend, time=Night",congestion=Low,0.06441571378172536,0.8860976306023409,3.5443169690242384
"day=Weekend, time=Night, weather=Clouds",congestion=Low,0.013758897627990952,0.884,3.5359266207354527
"time=Night, weather=Snow",congestion=Low,0.013447610351339572,0.8697986577181207,3.479122430436049
"day=Weekend, time=Night, weather=Clear",congestion=Low,0.021976881731587357,0.863080684596577,3.4522510955968504
"time=Night, weather=Clouds",congestion=Low,0.04922489468113807,0.8526240115025162,3.410425271210405
"time=Night, weather=Clear",congestion=Low,0.06958308257413826,0.8512312769738513,3.4048544487041563
time=Night,congestion=Low,0.2163239047875983,0.8487908150802052,3.395092803707964
"day=Weekend, time=Afternoon, weather=Clouds",congestion=High,0.02428040757880756,0.8472121650977552,3.386810403149621
"day=Weekday, time=Night, weather=Clear",congestion=Low,0.0476062008425509,0.8458702064896756,3.3834106117803597
